"By age ","By qualification of stay","PERIOD","Total","Male","Female",
"11 s","Permanent Residence","2003 ","1","1","0",
"11 s","Permanent Residence","2004 ","0","0","0",
"11 s","Permanent Residence","2005 ","3","1","2",
"11 s","Permanent Residence","2006 ","5","3","2",
"11 s","Permanent Residence","2007 ","3","2","1",
"11 s","Permanent Residence","2008 ","7","5","2",
"11 s","Permanent Residence","2009 ","5","4","1",
"11 s","Permanent Residence","2010 ","3","2","1",
"11 s","Permanent Residence","2011 ","7","5","2",
"11 s","Permanent Residence","2012 ","1","1","",
"11 s","Permanent Residence","2013 ","5","4","1",
"11 s","Permanent Residence","2014 ","6","3","3",
"11 s","Permanent Residence","2015 ","1","0","1",
"11 s","Permanent Residence","2016 ","1","1","0",
"11 s","Permanent Residence","2017 ","4","3","1",
"11 s","Permanent Residence","2018 ","2","2","0",
"11 s","Permanent Residence","2019 ","1","1","0",
"12 s","Total","2000 ","365","206","159",
"12 s","Total","2001 ","372","197","175",
"12 s","Total","2002 ","357","192","165",
"12 s","Total","2003 ","363","182","181",
"12 s","Total","2004 ","364","180","184",
"12 s","Total","2005 ","400","196","204",
"12 s","Total","2006 ","395","199","196",
"12 s","Total","2007 ","364","166","198",
"12 s","Total","2008 ","321","156","165",
"12 s","Total","2009 ","352","167","185",
"12 s","Total","2010 ","380","187","193",
"12 s","Total","2011 ","527","229","298",
"12 s","Total","2012 ","518","269","249",
"12 s","Total","2013 ","507","271","236",
"12 s","Total","2014 ","531","280","251",
"12 s","Total","2015 ","483","233","250",
"12 s","Total","2016 ","563","244","319",
"12 s","Total","2017 ","590","305","285",
"12 s","Total","2018 ","666","335","331",
"12 s","Total","2019 ","732","344","388",
"12 s","Sightseeing Pass","2000 ","95","45","50",
"12 s","Sightseeing Pass","2001 ","93","60","33",
"12 s","Sightseeing Pass","2002 ","114","65","49",
"12 s","Sightseeing Pass","2003 ","105","45","60",
"12 s","Sightseeing Pass","2004 ","132","69","63",
"12 s","Sightseeing Pass","2005 ","111","64","47",
"12 s","Sightseeing Pass","2006 ","118","59","59",
"12 s","Sightseeing Pass","2007 ","102","40","62",
"12 s","Sightseeing Pass","2008 ","130","68","62",
"12 s","Sightseeing Pass","2009 ","163","82","81",
